month_url,title,price,description,image
August 2022,Initial bar,RM 183.30,"Somehow I either calculated wrong, or I'm pepega.
      
Breakfast - Rm 1.90
Lunch -RM 107.40 
Dinner - RM 74.00
Average cost per day - RM 10.78","2022/August/2022, August, image 35.png"
September 2022,+29% vs August 2022,RM 237.70,"Price hike: exists
              My spendings: pakiu
          
Breakfast - Rm 7.50 
                (3.95x higher)
Lunch - RM 129.70 
                (21% higher)
Dinner - RM 100.50 
                (36% higher)
Average cost per day - RM 11.32 
                (5% higher)","2022/September/2022, September, image 42.png"
October 2022,11.83x lower vs August 22,RM 15.50,"1 meal a month.
           Cost per day counted as 1 day instead of 2 because it is literally 3 meals that can be considered within 24 hours.
        
Breakfast - Rm 1.50 
                (21% lower)
Lunch - RM 7.50 
                (14.32x lower)
Dinner - RM 6.50 
                (11.38x lower)
Average cost per day - RM 15.50 
                (44% higher)","2022/October/2022, October, image 4.png"
November 2022,+9% vs August 2022,RM 199.10,"Almost 200. Wow.

Breakfast - RM 6.00 
                (3.16x higher)
Lunch - RM 95.30 
                (12% lower)
Dinner - RM 97.80 
                (32% higher)
Average cost per day - RM 11.72 
                (8.7% higher)","2022/November/2022, November, image 33.png"
December 2022,26% lower vs August 2022,RM 135.00,"Huh, perfect round number.

Breakfast - RM 0.00 
                (infinitely lower)
Lunch - RM 82.50 
                (23% lower)
Dinner - RM 52.50 
                (29% lower)
Average cost per day - RM 11.25 
                (4.4% higher)","2022/December/2022, December, image 22.png"
January 2023,+10.64% vs August 2022,RM 202.80,"Imagine having some days off, and spendings go brr.
           But having fun is all that matters, right?

Purely food expenses - RM 196.90 
Breakfast - RM 2.50 
                (32% higher)
Lunch - RM 103.40 
                (3.87% lower)
Dinner - RM 91.00 
                (23% higher)
Average cost per day - RM 14.49 
                (26% higher)
Etc. Expenses - RM 5.90 
Cash Damage - RM 255.80 


        New tabs above to show extra information.
        I have to prayge the ATM works in case of Glaze Eatery incident v2.","2023/January/2023, January, image 31.png"
February 2023,-55.10% vs August 2022,RM 82.30,"Now that's the end of Trimester 2215.
         Now to prepare myself for Trimester 2220.

Purely food expenses - RM 82.30
Breakfast - RM 0.00
              (infinitely lower)
Lunch - RM 40.30
              (62.48% lower)
Dinner - RM 42.00
              (43.42% lower)
Average cost per day - RM 13.72
              (27.28% higher)
Etc. Expenses - RM 0.00
Cash Damage - RM 82.30","2023/February/2023, February, image 12.png"
March 2023,-38.35% vs August 2022,RM 293.00,"Purely food expenses - RM 113.00 
Breakfast - RM 0.00 
              (Infinitely lower)
Lunch - RM 70.50 
              (34.36% lower)
Dinner - RM 42.50 
              (42.57% lower)
Average cost per day - RM 12.56 
              (14.17% higher)
Etc. Expenses - RM 180.00 

(6) Homuhomu - RM 180.00","2023/March/2023, March, image 18.png"
April 2023,-30.91% vs August 2022,RM 126.65,"All hail raya holidays.
         I feel inflation is coming, don't you think?
         Or is it lifestyle inflation?
      
Purely food expenses - RM 126.65 
Breakfast - RM 0.00
Lunch - RM 82.65 
              (~RM 10.33 per meal)
Dinner - RM 44.00 
            (~RM 7.33 per meal)
Average cost per day - RM 18.09","2023/April/2023, April, image 18.png"
May 2023,+61.54% vs August 2022,RM 296.10,"JESUS
         OK granted I did stay more days in MMU, but EATING OUT

         Batu Khan won't be proud of this.
      
Purely food expenses - RM 296.10 
Breakfast - RM 3.00 
              (57.89% higher)
Lunch - RM 120.40 
              (12.1% higher)
Dinner - RM 172.70 
              (2.33x higher)
Average cost per day - RM 12.87 
              (19.4% higher)
Etc. Expenses - RM 175.00 
Cash Damage - RM 296.10 
Total Damage - RM 471.10 

      Etc. Expenses
      
Razer Basilisk X HyperSpeed - RM 175.00","2023/May/2023, May, image 46.png"
June 2023,+15.38% vs August 2022,RM 211.50,"Purely food expenses - RM 186.50 
Breakfast - RM 0.00 
Lunch - RM 90.50  
              (15.74% lower)
Dinner - RM 96.00 
              (29.73% higher)
Average cost per day - RM 10.36 
              (3.72% lower) 
Etc. Expenses - RM 25.00  
Cash Damage - RM 211.50","2023/June/2023, June, image 39.png"
July 2023,-72.64% vs August 2022,RM 50.15,"Purely food expenses - RM 50.15 
Breakfast - RM 2.50 
              (% higher)
Lunch - RM 25.75 
              (% lower)
Dinner - RM 21.90 
              (% higher)
Average cost per day - RM 16.71 
              (% higher)
Cash Damage - RM 18.30","2023/July/2023, July, image 6.png"
August 2023,New Baseline,RM 790.69,"I shall be making a new category type thing to text.
         Hehe 69 sen.
         

Purely food expenses - RM 232.97 
Breakfast - RM 0.00 
              (N/A)
Lunch - RM 94.50 
              (~RM 7.27 per meal) 
Dinner - RM 138.47 
              (~RM 10.65 per meal)
Average cost per day - RM 16.64 
Etc. Expenses - RM 55.00  
Cash Damage - RM 79.50  
Rental - RM 450.00 
Electric bill(s) - RM 48.47  
Water bill - RM 4.25 
Petrol - RM 0.00","2023/August/2023, August, image 29.gif"
September 2023,No title,RM 818.31,"Electricity bill went zoom.
         
         Just like mood.
      
Purely food expenses - RM 213.06 
Breakfast - RM 11.45 
              (~RM 3 per meal) 
Lunch - RM 87.40  
              (~RM 6.25 per meal)
Dinner - RM 114.21  
            (~RM 8.16 per meal)
Average cost per day - RM 15.22
Etc. Expenses - RM 36.2  
Cash Damage - RM  
Rental - RM 450.00 
Electric bill(s) - RM 112.50  
Water bill - RM 6.55  
Petrol - RM 0.00","2023/September/2023, September, image 28.png"
October 2023,No title,RM 618.65,"Can't forget the day we met,
          that girl saw me in ecstacy.

          Emo aside, I shall welcome my Bachelor Degree self.
         

Purely food expenses - RM 53.90 
Breakfast - RM 0
Lunch - RM 23 
              (~RM 7.67 per meal)
Dinner - RM 30.90 
            (~RM 10.30 per meal)
Average cost per day - RM 17.97
Etc. Expenses - RM 70.00  
Cash Damage - RM 24.50 
Rental - RM 450.00 
Electric bill(s) - RM 36.25  
Water bill - RM 8.50  
Petrol - RM 0.00","2023/October/2023, October, image 7.png"
