date,dish_name,restaurant_name,price,description,image
8 August 2022 (Monday),Nasi Campur,Komatra,RM6.50,"Cherry popped to official MMU food.

                    
Rice - RM 1.50
Chicken - RM 3.50
Vegetable - RM 1.50","2022/August/2022, August, image 1.png"
8 August 2022 (Monday),Nasi Goreng Biasa,Komatra,RM5.50,"POS016655
                    7:09 -> 7:13","2022/August/2022, August, image 2.png"
9 August 2022 (Tuesday),Breakfast,Komatra,RM1.50,"No idea how they charged, didn't take the image of the receipt.","2022/August/2022, August, image 3.png"
9 August 2022 (Tuesday),Self Service,Deens,RM4.00,"Expensive, less tasty vs Komatra (above).
                And that's the end of Deens.","2022/August/2022, August, image 4.png"
9 August 2022 (Tuesday),Spaghetti Aglio Olio,Komatra,RM7.00,"POS017448
                7:11 -> 7:22","2022/August/2022, August, image 5.png"
10 August 2022 (Wednesday),Nasi Campur,Komatra,RM6.50,"POS017895
            12:01

            
Rice - RM 1.50
Chicken - RM 3.50
Vegetable - RM 1.50","2022/August/2022, August, image 6.png"
10 August 2022 (Wednesday),Nasi Goreng Cina,Komatra,RM5.50,"POS018184
            18:04 -> 18:09","2022/August/2022, August, image 7.png"
11 August 2022 (Thursday),Roasted Pork Rice,Rice Home Restaurant,RM9.90,Ty to roommate for the offer & footing delivery fees.,"2022/August/2022, August, image 8.png"
11 August 2022 (Thursday),Mee Goreng Biasa,Komatra,RM5.50,"POS018976
            6:29 -> 7:09","2022/August/2022, August, image 9.png"
12 August 2022 (Friday),Nasi Campur,Komatra,RM6.50,"POS019436
            12:01

            
Rice - RM 1.50
Chicken - RM 3.50
Vegetable - RM 1.50","2022/August/2022, August, image 10.png"
12 August 2022 (Friday),Nasi Goreng Kampung,Komatra,RM5.50,"POS019635
            6:05 -> 6:17","2022/August/2022, August, image 11.png"
15 August 2022 (Monday),Nasi Campur,Komatra,RM6.50,"Rice - RM 1.50
Chicken - RM 3.50
Vegetable - RM 1.50","2022/August/2022, August, image 12.png"
15 August 2022 (Monday),Nasi Bujang,Komatra,RM3.50,"POS021067
            096 (19:26)
            7:04 ->7:33

            Fak dis dish","2022/August/2022, August, image 13.png"
16 August 2022 (Tuesday),Nasi Campur,Komatra,RM6.00,"'Extra rice'
          POS021551
          1:13
          
Extra rice - RM 2.00
Chicken - RM 3.50
Vegetable - RM 1.50","2022/August/2022, August, image 14.png"
16 August 2022 (Tuesday),Char Kuey Teow,Komatra,RM5.50,"POS021745
          6:31 -> 6:34","2022/August/2022, August, image 15.png"
17 August 2022 (Wednesday),Nasi Campur,Komatra,RM5.50,"POS022237
          12:08
          
Rice - RM 1.50
Chicken - RM 2.50
Vegetable - RM 1.50","2022/August/2022, August, image 16.png"
17 August 2022 (Wednesday),Nasi Goreng Kampung,Komatra,RM5.50,"POS022486
          5:58 -> 6:28","2022/August/2022, August, image 17.png"
18 August 2022 (Thursday),Breakfast,Komatra,RM3.00,"POS022905
          9:57
      
Maggi Goreng (2) - 3.00","2022/August/2022, August, image 18.png"
