month_url,title,days,reasons,description,image
August 2022,The start of everything.,17,No reasons,"Logs.<br>
    Open images in new tab if it's a little too cropped.
    <br><br>
    
    The start of everything.","2022/August/2022, August, image 35.png"
September 2022,"""This is me 1 month after being in MMU""",21,No reasons,'This is me 1 month after being in MMU'.,2022/September/Bung.png
October 2022,"Savings, savings.",2,Trimester Break: (date lost to time...),"Logs.
    <br>
    Open images in new tab if it's a little too cropped.
    <br><br>
    
    Significant break time here as trimester break is here!.","2022/October/2022, October, image 4.png"
November 2022,"New trimester, new me.",17,No reasons,"New trimester, new me.","2022/November/2022, November, image 33.png"
December 2022,"Projects, assignments, deadlines.",12,"Tuberculosis break: 19/12 - 23/12,
    Christmas break: 26/12 - 30/12","Projects, assignments, deadlines.","2022/December/2022, December, image 22c.png"
January 2023,"2020, 3.",14,"New year replacement: 2/1,
    Storm: 18/1 - 20/1,
    (I was supposed to be gone at 16，but I stayed for Fruitizen),
    Chinese New Year: 23/1 - 27/1,
    (Online T&L)","2020, 3.","2023/January/2023, January, image 31.png"
February 2023,EXAMINATIONS!!,6,"Study week: 6/2 - 10/2,
    (somehow still has classes even though it should've been over),
    SEMESTER BREAK: 17/2 - 19/3,
    (WOOOOOOOOO)",No description,"2023/February/2023, February, image 12.png"
March 2023,TRIMESTER 2220!!,9,"Trimester break: 27/2 - 19/3,
    <br>,
    Monday does not have classes","Welcome, trimester 2220.","2023/March/2023, March, image 18.png"
April 2023,It is time to nerd out.,9,"Scammed to uni: 10/4,
    Hari raya holidays: 15/4 - 30/4",No description,"2023/April/2023, April, image 18.png"
May 2023,We are in the midgame now.,23,No reasons,No description,"2023/May/2023, May, image 46.png"
June 2023,"What is real, what is not.",18,"Hangout - 4/6,
    YDPA Birthday - 5/6,
    Hangout 2 - 24/6,
    Study week - 25/6 - 2/7",No description,"2023/June/2023, June, image 39.png"
July 2023,"Go on, tell the world the truth.",3,Trimester Break: 6/7 - 6/8,No description,"2023/July/2023, July, image 6.png"
August 2023,WHY AM I STILL IN FOUNDATION,14,"No class on fridays,
    State election holiday (Wikipedia mentioned 12th so I assume holiday is 14th),
    Independence holiday (31st since 30th I still was eating)",No description,"2023/August/2023, August, image 29.gif"
September 2023,What is life.,14,No reasons,No description,"2023/September/2023, September, image 28.png"
October 2023,She is just like what Fumina Konoe is to Hecate.,3,Trimester Break: 3 - 29,No description,"2023/October/2023, October, image 7.png"
November 2023,"Oh, I'm a bachelor student now.<br>How will life be with a new roommate?",17,Deepavali Holidays: 11 - 19,No description,"2023/November/2023, November, image 40.png"
December 2023,ITS DECEMBER ALREADY???,8,"Hangout: 3,
    CFn't hangout: 24",No description,"2023/December/2023, December, image 19.png"
January 2024,ITS TAX SEASON,22,No reasons,No description,"2024/January/2024, January, image 47.png"
February 2024,Finals month or My Final month?,9,"CNY Online week - 5/2 - 11/2,
    Study week - 12/2 - 18/2,
    Trimester break - 23/2 - 24/3",No description,"2024/February/2024, February, image 14.png"
March 2024,男人过了20岁<br>就不能穿的这么幼稚了,0,"Trimester break - 23/2 - 24/3,
    Online class - 25/3 - 15/4",No description,"2024/March/2024, March, image 1.png"
April 2024,How do I solve the test with my wellspring of wisdom?,9,Online class - 25/3 - 15/4,No description,"2024/April/2024, April, image 99.png"
May 2024,What if everything was a simulation?,20,(06) TMA 1301 Test 1,No description,"2024/May/2024, May, image 99.png"
June 2024,It's time.,16,(23) Maple thing,No description,"2024/June/2024, June, image 99.png"
July 2024,Absolutely 湖。,4,"Yes: 1/7,
    Trimester Break: 12/7 - 22/7,
    MUET Speaking: 23/7,
    Trimester Break: 12/7 - 31/7",No description,"2024/July/2024, July, image 99.png"
August 2024,You Are (Not) Alone.,13,"Trimester Break: 1/8 - 2/8,
    (3) MUET,
    Trimester Break: 4/8 - 11/8",No description,"2024/August/2024, August, image 99.png"
September 2024,You Can (Not) Advance.,15,"(16) - Malaysia Day + Prophet Muhammad's Bday,
    (17) - Replacement for either of the above",No description,2024/September/Chino.png
October 2024,You Can (Not) Redo.,0,Trimester break: 1/10 - 31/10,No description,2024/October/Yuno.png
November 2024,Man the break ended.,16,Trimester break: 1/11 - 3/11,No description,2024/November/Taiga.png
December 2024,Maybe.,17,"OS Midterm: 13/12,
    Lakefronting: 14/12 - 15/12,
    Christmas Online Week: 23/12 - 29/12",No description,2024/December/Ebisuzawa.png
January 2025,Everything is in blue.,17,"New Years: 1/1,
    OS Test 1: 5/1,
    Chinese New Year Online Week: 27/1 - 31/1",First year I'll be spending the new years with my mates.,2025/January/KLCC.png
February 2025,Final showdown.,8,"CSN6224 Quiz: 7/2,
    Study Week Part I: 10/2 - 12/2,
    CSN6214 Test 2: 13/2,
    Study Week Part II: 14/2 - 16/2,
    Exam Week 'break' time: 17/2 - 24/2,
    CSN6224 Final Exam: 25/2,
    Trimester Break: 26/2 - 23/3",The end is near.,2025/February/Furude.png
March 2025,Month of emptiness.,0,"Trimester Break: 26/2 - 23/3,
    Online Classes: 24/3 - 7/4",Yet another month of emptiness.,2025/March/Megumin.png
April 2025,Infected mushrooms in my room.,18,"Online Classes: 24/3 - 6/4,
    Connectopia Outing: 26/4 (fri - sun is staying back because of this)","Shrooms grew on my cupboard. They're circular in pattern, neverending circles.<br>
    Things seem to be chasing up, piling up in an ever accelerating fashion.<br><br>

    I'll hold the line.",https://cdn-images.dzcdn.net/images/cover/870986e4a689f8ecfeeb3e632e2360e8/0x1900-000000-80-0-0.jpg
May 2025,Pile it on. I’ll tear through it all.,14,"Labour Day - 1/5,
    Wesak Day - 12/5,
    Game Jam: 23/5 - 25/5,
    ASEAN Meeting online class: 26/5 - 28/5,
    Manforce interview: 30/5","Game Jam, Clubs Site, Hack Day, Codenection, endless academic work, and hunting down that internship.<br>
    Tasks piling up like a mountain, but what else is new?<br>
    You want me to handle it all? Fine.<br>
    Don’t expect me to slow down or be kind. I'll rip through it like it’s nothing.<br><br>
    This chaos? It’s just another day.",2025/May/Lapipi.png
